phase	modified	gene_id	gene_name
G2/M	2024-07-04	WBGene00006974	zen-4
G2/M	2024-07-04	WBGene00000257	bmk-1
G2/M	2024-07-04	WBGene00000405	cdk-1
G2/M	2024-07-04	WBGene00000099	air-2
S	2024-07-04	WBGene00011912	T22C1.1
S	2024-07-04	WBGene00004338	rfc-2
S	2024-07-04	WBGene00004297	rad-51
S	2024-07-04	WBGene00003154	mcm-2
S	2024-07-04	WBGene00013241	ung-1
S	2024-07-04	WBGene00009372	evl-18
S	2024-07-04	WBGene00000382	cdc-6
S	2024-07-04	WBGene00003418	msh-2
S	2024-07-04	WBGene00003156	mcm-4
S	2024-07-04	WBGene00009287	psf-2
S	2024-07-04	WBGene00022141	chaf-2
S	2024-07-04	WBGene00000794	crn-1
S	2024-07-04	WBGene00022455	tyms-1
